택시운송업 사업체수,택시운송업 종사자수,한식 일반 음식점업 사업체수,한식 일반 음식점업 종사자수,용달 화물자동차 운송업 사업체수,용달 화물자동차 운송업 종사자수,부동산 중개 및 대리업 사업체수,부동산 중개 및 대리업 종사자수,두발미용업 사업체수,두발미용업 종사자수,커피전문점 사업체수,커피전문점 종사자수,남녀용 겉옷 및 셔츠 도매업 사업체수,남녀용 겉옷 및 셔츠 도매업 종사자수,기타주점업 사업체수,기타주점업 종사자수,일반 교과 학원 사업체수,일반 교과 학원 종사자수,한식 육류요리 전문점 사업체수,한식 육류요리 전문점 종사자수
202,444,162,489,158,159,106,166,74,97,46,150,73,392,64,127,19,73,69,260
198,388,114,335,129,131,73,98,82,121,43,145,31,91,58,126,75,273,67,258
60,60,56,143,45,45,54,83,45,76,54,164,2,4,36,86,16,53,31,78
95,210,9,18,50,50,33,43,25,28,12,26,0,0,15,25,18,47,16,41
3634,6262,991,2479,1804,1877,738,1104,790,1108,381,1037,63,284,535,1000,288,1045,499,1504
167,329,80,176,130,142,46,70,61,66,23,58,8,34,26,43,20,57,35,83
154,154,28,51,100,102,32,40,33,35,18,31,3,8,23,39,25,63,16,36
68,305,23,56,85,99,22,34,19,20,4,9,3,10,9,15,1,2,14,36
109,242,57,165,88,88,51,83,50,75,16,52,4,9,36,53,12,75,22,88
157,919,15,47,90,90,31,51,40,64,26,98,3,18,10,16,16,30,14,35
85,213,127,308,66,67,74,148,40,92,39,150,4,19,73,146,0,0,88,266
136,136,24,57,79,79,39,56,40,53,14,21,2,7,9,14,20,75,9,24
159,235,90,215,112,124,44,71,62,84,22,42,4,8,66,122,4,7,44,136
181,181,54,164,133,133,56,73,61,87,37,110,7,36,23,41,18,67,32,82
126,126,58,126,86,86,47,63,46,54,20,38,5,16,34,68,15,32,29,83
115,284,36,77,91,100,25,28,38,42,13,18,1,3,15,17,10,19,13,43
388,1031,55,171,201,213,43,58,48,63,35,105,4,28,24,40,46,196,40,157
200,200,29,106,75,75,30,41,33,76,14,43,0,0,8,19,48,195,10,39
153,153,98,230,168,178,80,110,76,89,33,84,4,29,55,103,17,39,38,115
183,183,100,224,126,127,56,82,69,111,32,88,5,32,65,155,17,60,40,132
1253,1571,117,306,174,174,62,96,74,97,35,90,6,27,59,109,19,128,55,149
1835,2643,973,2822,1312,1335,846,1175,739,1245,457,1384,85,454,512,1030,464,1755,365,1334
54,54,7,22,35,35,17,23,12,14,4,16,1,1,4,7,15,223,4,87
62,62,7,27,33,33,29,33,14,19,6,16,2,2,1,2,29,70,3,6
38,38,86,346,39,41,35,46,39,99,69,237,24,83,57,136,7,11,21,66
206,206,48,121,47,47,40,53,32,46,11,32,16,64,24,53,10,35,16,38
87,87,20,48,42,42,31,46,28,33,15,48,0,0,7,11,29,57,12,31
132,273,30,80,94,100,30,43,29,40,11,36,1,1,11,17,21,87,13,38
95,95,35,77,50,50,16,22,24,31,16,34,0,0,18,33,2,8,20,63
136,275,37,84,74,74,35,49,29,51,16,42,1,3,18,32,13,34,13,29
91,91,24,66,57,57,53,96,37,75,20,76,1,1,43,78,43,194,8,32
